@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
7,9,4,True,True,True,True,9,3,11,7,19,12,22,9,8,6,15,15,1,91,120,East,190,4,119
8,9,4,True,True,True,True,9,3,11,7,19,12,22,9,7,5,14,14,1,190,119,East,289,4,118
9,9,4,True,True,True,True,9,3,11,7,19,12,22,9,6,4,13,13,1,289,118,East,388,4,117
10,9,4,True,True,True,True,9,3,11,7,19,12,22,9,7,3,12,12,1,388,117,East,387,4,117
11,9,4,True,True,True,True,9,3,11,7,19,12,22,9,8,2,11,11,1,387,117,East,486,4,116
11,8,4,True,True,True,True,9,3,11,7,19,12,22,9,7,1,12,12,1,486,116,South,685,3,116
11,7,3,True,False,True,True,9,3,3,1,19,12,22,9,6,-1,13,13,1,685,116,South,684,3,116
11,6,3,True,False,True,True,9,3,3,1,19,12,22,9,5,-1,14,14,1,684,116,South,783,3,115
11,5,3,True,False,True,True,9,3,3,1,19,12,22,9,4,-1,15,15,1,783,115,South,882,3,114
11,4,3,True,False,True,True,9,3,3,1,19,12,22,9,3,-1,16,16,1,882,114,South,981,3,113
10,4,3,True,False,True,True,9,3,3,1,19,12,22,9,2,-1,17,17,1,981,113,West,980,3,113
9,4,3,True,False,True,True,9,3,3,1,19,12,22,9,1,-1,18,18,2,980,113,West,1179,2,113
9,3,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,19,19,1,1179,113,South,1278,2,112
10,3,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,18,18,2,1278,112,East,1277,2,112
