@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE nearestGhostUp {True, False}
@ATTRIBUTE nearestGhostDown {True, False}
@ATTRIBUTE nearestGhostLeft {True, False}
@ATTRIBUTE nearestGhostRight {True, False}
@ATTRIBUTE angleClosestGhost NUMERIC
@ATTRIBUTE hasWallEast {True, False}
@ATTRIBUTE hasWallSouth {True, False}
@ATTRIBUTE hasWallWest {True, False}
@ATTRIBUTE hasWallNorth {True, False}
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
12,6,4,True,True,True,True,10,4,14,9,21,12,20,9,4,5,15,11,False,True,True,False,225,False,False,False,False,1,880,112,West,879,4,112
11,6,4,True,True,True,True,11,4,13,9,21,11,21,9,2,5,15,13,False,True,False,False,270,False,False,False,False,1,879,112,West,978,4,111
11,5,4,True,True,True,True,11,3,13,10,21,11,20,9,2,7,16,13,False,True,False,False,270,False,False,False,False,1,978,111,South,1077,4,110
11,4,4,True,True,True,True,11,3,14,10,21,10,20,8,1,9,16,13,False,True,False,False,270,False,False,False,False,1,1077,110,South,1076,4,110
11,3,4,True,True,True,True,10,3,14,10,21,11,20,9,1,10,18,15,False,False,True,False,180,False,True,False,False,1,1076,110,South,1075,4,110
11,3,4,True,True,True,True,9,3,14,9,20,11,19,9,2,9,17,14,False,False,True,False,180,False,True,False,False,1,1075,110,Stop,1174,4,109
10,3,4,True,True,True,True,9,3,14,10,20,10,19,8,1,11,17,14,False,False,True,False,180,False,True,False,False,1,1174,109,West,1173,4,109
9,3,4,True,True,True,True,8,3,15,10,20,11,19,7,1,13,19,14,False,False,True,False,180,False,True,False,False,1,1173,109,West,1472,3,108
8,3,3,False,True,True,True,1,1,16,10,21,11,19,7,-1,15,21,15,True,False,False,True,41,False,True,False,False,1,1472,108,West,1571,3,107
7,3,3,False,True,True,True,1,1,16,11,20,11,20,7,-1,17,21,17,True,False,False,True,42,False,True,False,False,1,1571,107,West,1670,3,106
