(9, 12),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 4, 10, 4],12
(9, 12),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 4, 10, 4],12
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 6, 8, 6],10
(9, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 6, 8, 6],10
(9, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 6, 8, 6],10
(9, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 6, 8, 6],10
(9, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 6, 8, 6],10
(8, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 5, 9, 7],11
(8, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 5, 9, 7],11
(8, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 5, 9, 7],11
(8, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 5, 9, 7],11
(8, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 5, 9, 7],11
(9, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 6, 8, 6],10
(9, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 6, 8, 6],10
(9, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 6, 8, 6],10
(9, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 6, 8, 6],10
(9, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 6, 8, 6],10
(8, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 5, 9, 7],11
(8, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 5, 9, 7],11
(8, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 5, 9, 7],11
(8, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 5, 9, 7],11
(8, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 5, 9, 7],11
(7, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[6, 4, 10, 8],12
(7, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[6, 4, 10, 8],12
(7, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[6, 4, 10, 8],12
(7, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[6, 4, 10, 8],12
(7, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[6, 4, 10, 8],12
(7, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 3, 11, 7],13
(7, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[7, 3, 11, 7],13
