@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
1,11,4,True,True,True,True,9,3,14,4,21,5,23,12,16,20,26,23,1,585,115,South,684,4,114
1,10,4,True,True,True,True,10,3,14,3,22,5,23,12,16,20,26,23,1,684,114,South,783,4,113
1,9,4,True,True,True,True,9,3,13,3,21,5,22,12,14,18,24,25,1,783,113,South,882,4,112
2,9,4,True,True,True,True,8,3,13,4,21,6,23,12,12,16,22,24,1,882,112,East,981,4,111
2,10,4,True,True,True,True,8,4,12,4,21,7,23,12,12,16,22,23,2,981,111,North,980,4,111
2,11,4,True,True,True,True,8,3,12,3,20,7,23,12,14,18,22,21,3,980,111,North,979,4,111
2,10,4,True,True,True,True,8,3,12,3,20,8,22,12,13,17,20,23,2,979,111,South,978,4,111
2,9,4,True,True,True,True,8,4,12,3,20,8,23,12,11,16,19,23,1,978,111,South,1077,4,110
2,8,4,True,True,True,True,9,4,13,3,20,9,23,11,11,16,19,24,1,1077,110,South,1176,4,109
2,7,4,True,True,True,True,8,4,13,4,20,10,23,11,9,14,21,24,1,1176,109,South,1275,4,108
